fighter_a,fighter_b,a_kd,b_kd,a_sig_str_landed,a_sig_str_att,b_sig_str_landed,b_sig_str_att,a_total_str_landed,a_total_str_att,b_total_str_landed,b_total_str_att,a_td_landed,a_td_att,b_td_landed,b_td_att,a_sub_att,b_sub_att,a_rev,b_rev,a_ctrl_sec,b_ctrl_sec,a_head_landed,a_head_att,b_head_landed,b_head_att,a_body_landed,a_body_att,b_body_landed,b_body_att,a_leg_landed,a_leg_att,b_leg_landed,b_leg_att,a_dist_landed,a_dist_att,b_dist_landed,b_dist_att,a_clinch_landed,a_clinch_att,b_clinch_landed,b_clinch_att,a_ground_landed,a_ground_att,b_ground_landed,b_ground_att,fight_url
Katlyn Cerminara,Manon Fiorot,0,0,25,86,29,84,25,86,29,84,0,0,0,0,0,0,0,0,0,0,13,65,15,64,5,12,4,10,7,9,10,10,25,84,29,82,0,2,0,2,0,0,0,0,http://www.ufcstats.com/fight-details/25f3e4fa781c1c8a
Belal Muhammad,Sean Brady,0,0,26,80,25,62,26,80,25,62,0,0,0,2,0,0,0,0,0,0,18,66,15,51,6,10,2,3,2,4,8,8,26,80,25,62,0,0,0,0,0,0,0,0,http://www.ufcstats.com/fight-details/d325a1483d78ae75
Makhmud Muradov,Caio Borralho,0,0,7,20,13,18,25,42,17,22,0,0,1,1,0,0,0,0,92,96,5,17,9,13,1,2,1,2,1,1,3,3,4,10,6,11,0,0,0,0,3,10,7,7,http://www.ufcstats.com/fight-details/2d36e2c10ee349fe
Volkan Oezdemir,Nikita Krylov,0,0,27,50,26,58,46,72,31,64,1,1,2,7,0,1,0,0,46,122,24,47,17,46,0,0,7,10,3,3,2,2,20,39,17,45,4,7,8,10,3,4,1,3,http://www.ufcstats.com/fight-details/f4d8266a42a41dff
Abubakar Nurmagomedov,Gadzhi Omargadzhiev,0,0,7,14,13,25,33,40,36,49,0,1,1,2,0,0,0,0,177,29,5,12,7,16,1,1,4,6,1,1,2,3,7,14,5,16,0,0,8,9,0,0,0,0,http://www.ufcstats.com/fight-details/cea6760d7bfbe19b
Armen Petrosyan,AJ Dobson,0,0,35,60,15,42,35,60,17,44,0,0,2,2,0,0,0,0,0,34,12,35,9,32,7,8,1,5,16,17,5,5,34,59,15,42,1,1,0,0,0,0,0,0,http://www.ufcstats.com/fight-details/1b204fc28bb023e6
Muhammad Mokaev,Malcolm Gordon,0,0,12,16,3,13,52,57,6,16,2,3,0,0,0,0,0,0,260,10,7,11,1,11,5,5,2,2,0,0,0,0,8,12,3,13,0,0,0,0,4,4,0,0,http://www.ufcstats.com/fight-details/1e8c33b1917fe1b7
Karol Rosa,Lina Lansberg,0,1,6,10,7,10,42,49,22,27,1,1,0,0,0,0,0,0,179,56,2,5,3,6,1,1,4,4,3,4,0,0,4,8,4,7,1,1,3,3,1,1,0,0,http://www.ufcstats.com/fight-details/4011cdf1f182804c
Alexa Grasso,Viviane Araujo,0,0,32,66,27,52,33,67,30,55,0,0,0,2,0,0,0,0,0,29,24,55,23,47,5,7,1,2,3,4,3,3,30,63,27,52,2,3,0,0,0,0,0,0,http://www.ufcstats.com/fight-details/904cf687d22bb486
Cub Swanson,Jonathan Martinez,0,1,31,50,33,59,38,57,35,61,1,1,0,1,0,0,0,1,20,76,5,23,21,45,5,6,10,12,21,21,2,2,29,47,21,39,2,2,5,6,0,1,7,14,http://www.ufcstats.com/fight-details/1af23e7aa71a1d17
Jordan Wright,Dusko Todorovic,0,0,17,20,3,3,58,62,4,4,3,3,0,2,1,0,0,0,264,13,16,18,1,1,1,2,2,2,0,0,0,0,1,1,1,1,5,5,2,2,11,14,0,0,http://www.ufcstats.com/fight-details/759c55755d70f7ba
